_id,title,good_text,bad_text,normal_text,star,time,convert_time
6377b68af94a84c839ed7594,超棒”,,,帶一歲的寶寶入住，房間內該有的設施都有（嬰兒床、澡盆、椅凳、消毒鍋、空氣清淨、體重機、鞋子烘乾機等），且房間內有一個平台，可以擺放消毒鍋 奶粉及奶瓶等，空間規劃舒適，飯店地點也很方便，走路就有很多餐廳及百貨公司，飯店人員服務態度友善，值得推薦！ 訂的是不含早餐的價格2699，覺得很划算！,10.0,2022年7月24日星期日,2022/7/24
6377b68af94a84c839ed7595,寧靜舒適的床與空間”,,,房間安靜 床舒適 健身房人少可獨享 早餐是buffet用心雖然口味稍不符個人偏好 商務住宿體驗依然不錯,8.8,2022年7月21日星期四,2022/7/21
6377b68af94a84c839ed7596,出差首選”,,,環境乾淨、員工素質良好,10.0,2022年7月20日星期三,2022/7/20
6377b68af94a84c839ed7597,雖然是比較老牌的飯店 但依舊非常棒!”,,,五星級的服務!非常棒的服務!,9.6,2022年7月14日星期四,2022/7/14
6377b68af94a84c839ed7598,地點好，房間大，服務佳，整潔度有待加強”,,,入住時發現房內辦公桌沒擦乾淨，淋浴間備品架上有毛髮,8.0,2022年7月11日星期一,2022/7/11
6377b68bf94a84c839ed7599,可接受”,,,房務清潔沒很好,4.0,2022年7月10日星期日,2022/7/10
6377b68bf94a84c839ed759a,很讚”,,,衣櫥有衣物消臭噴霧，很貼心,8.4,2022年7月2日星期六,2022/7/2
6377b68bf94a84c839ed759b,超棒”,,,很優的住宿環境！！,10.0,2022年7月2日星期六,2022/7/2
6377b68bf94a84c839ed759c,性價比超高”,,,老飯店常遇到空調太大聲、手把鬆動、水量太小等等問題。老爺酒店的管理果然不負一向的嚴謹，讓我安排這次的商務行程有個舒適、安心的休息空間。真心值得推薦。,9.6,2022年6月29日星期三,2022/6/29
6377b68bf94a84c839ed759d,位子優服務好”,,,飯店設施不足 但早餐好吃 服務好 位子優,8.0,2022年6月27日星期一,2022/6/27
6377b68bf94a84c839ed759e,位子優服務好”,,,位子優服務好,8.0,2022年6月27日星期一,2022/6/27
6377b68bf94a84c839ed759f,早餐可以更好”,,,住宿是很好但早餐粥是冷的熱菜也是冷的,8.8,2022年6月26日星期日,2022/6/26
6377b68bf94a84c839ed75a0,超棒”,,,以交通來說，算是很方便的 也比隔壁精華便宜許多，但游泳池偏小，早餐也是偏普通,9.2,2022年6月26日星期日,2022/6/26
6377b68bf94a84c839ed75a1,早餐好吃”,,,早餐好吃 客房住的舒服 尤其是從房間看中山北路街景 很美,8.8,2022年6月23日星期四,2022/6/23
6377b68bf94a84c839ed75a2,五星品質”,,,一種說不上來的舒適感，當你一踏進去的第一刻就可以知道了,10.0,2022年6月23日星期四,2022/6/23
6377b68bf94a84c839ed75a3,好的服務專業級的享受”,,,好貼心 好好住 好等級 好服務,10.0,2022年6月22日星期三,2022/6/22
6377b68bf94a84c839ed75a4,基本上都是萬里挑一的品質”,,,只可惜早餐沒有期待中的好,9.2,2022年6月22日星期三,2022/6/22
6377b68bf94a84c839ed75a5,地點絕佳”,,,中山北路商店林立.赤峰街.寧夏夜市都在步行可達之處,9.6,2022年6月22日星期三,2022/6/22
6377b68bf94a84c839ed75a6,覺得這價位跟服務可以有更好的選擇”,,,確實是五星飯店的高檔舒適度也不錯 疫情期間 外送只能自取 行李小哥就一通電話 不送喔 不送上去哦！至少可以解釋一下因為疫情關係？房間餐點也有待加強，菜色，選擇，連咖啡都不在菜單上，還要問一下才能再回電，這樣的五星飯店稍稍失望了！,6.8,2022年6月20日星期一,2022/6/20
